"id";"culture";"biorep";"techrep";"time";"day";"dilution";"squares";"cells";"cellsml";"log10"
"1";1;"c";"c1";"a";0;0;1;4;18;45000;4.65321251377534
"2";2;"c";"c1";"a";0;0;1;4;21;52500;4.72015930340596
"3";3;"c";"c1";"a";0;0;1;4;10;25000;4.39794000867204
"4";4;"c";"c1";"a";0;0;1;4;16;40000;4.60205999132796
"5";5;"c";"c1";"a";0;0;1;4;11;27500;4.43933269383026
"6";6;"c";"c1";"a";0;0;1;4;13;32500;4.51188336097887
"7";7;"c";"c1";"a";0;0;1;4;10;25000;4.39794000867204
"8";8;"c";"c1";"a";0;0;1;4;9;22500;4.35218251811136
"9";9;"c";"c1";"a";0;0;1;4;9;22500;4.35218251811136
"10";10;"c";"c1";"a";0;0;1;4;14;35000;4.54406804435028
"11";11;"c";"c1";"a";0;0;1;4;12;30000;4.47712125471966
"12";12;"c";"c1";"a";0;0;1;4;10;25000;4.39794000867204
"13";1;"d";"d1";"a";0;0;1;4;18;45000;4.65321251377534
"14";2;"d";"d1";"a";0;0;1;4;21;52500;4.72015930340596
"15";3;"d";"d1";"a";0;0;1;4;10;25000;4.39794000867204
"16";4;"d";"d1";"a";0;0;1;4;16;40000;4.60205999132796
"17";5;"d";"d1";"a";0;0;1;4;11;27500;4.43933269383026
"18";6;"d";"d1";"a";0;0;1;4;13;32500;4.51188336097887
"19";7;"d";"d1";"a";0;0;1;4;10;25000;4.39794000867204
"20";8;"d";"d1";"a";0;0;1;4;9;22500;4.35218251811136
"21";9;"d";"d1";"a";0;0;1;4;9;22500;4.35218251811136
"22";10;"d";"d1";"a";0;0;1;4;14;35000;4.54406804435028
"23";11;"d";"d1";"a";0;0;1;4;12;30000;4.47712125471966
"24";12;"d";"d1";"a";0;0;1;4;10;25000;4.39794000867204
"25";1;"p";"p1";"a";0;0;1;4;18;45000;4.65321251377534
"26";2;"p";"p1";"a";0;0;1;4;21;52500;4.72015930340596
"27";3;"p";"p1";"a";0;0;1;4;10;25000;4.39794000867204
"28";4;"p";"p1";"a";0;0;1;4;16;40000;4.60205999132796
"29";5;"p";"p1";"a";0;0;1;4;11;27500;4.43933269383026
"30";6;"p";"p1";"a";0;0;1;4;13;32500;4.51188336097887
"31";7;"p";"p1";"a";0;0;1;4;10;25000;4.39794000867204
"32";8;"p";"p1";"a";0;0;1;4;9;22500;4.35218251811136
"33";9;"p";"p1";"a";0;0;1;4;9;22500;4.35218251811136
"34";10;"p";"p1";"a";0;0;1;4;14;35000;4.54406804435028
"35";11;"p";"p1";"a";0;0;1;4;12;30000;4.47712125471966
"36";12;"p";"p1";"a";0;0;1;4;10;25000;4.39794000867204
"37";1;"c";"c2";"a";0;0;1;4;18;45000;4.65321251377534
"38";2;"c";"c2";"a";0;0;1;4;21;52500;4.72015930340596
"39";3;"c";"c2";"a";0;0;1;4;10;25000;4.39794000867204
"40";4;"c";"c2";"a";0;0;1;4;16;40000;4.60205999132796
"41";5;"c";"c2";"a";0;0;1;4;11;27500;4.43933269383026
"42";6;"c";"c2";"a";0;0;1;4;13;32500;4.51188336097887
"43";7;"c";"c2";"a";0;0;1;4;10;25000;4.39794000867204
"44";8;"c";"c2";"a";0;0;1;4;9;22500;4.35218251811136
"45";9;"c";"c2";"a";0;0;1;4;9;22500;4.35218251811136
"46";10;"c";"c2";"a";0;0;1;4;14;35000;4.54406804435028
"47";11;"c";"c2";"a";0;0;1;4;12;30000;4.47712125471966
"48";12;"c";"c2";"a";0;0;1;4;10;25000;4.39794000867204
"49";1;"d";"d2";"a";0;0;1;4;18;45000;4.65321251377534
"50";2;"d";"d2";"a";0;0;1;4;21;52500;4.72015930340596
"51";3;"d";"d2";"a";0;0;1;4;10;25000;4.39794000867204
"52";4;"d";"d2";"a";0;0;1;4;16;40000;4.60205999132796
"53";5;"d";"d2";"a";0;0;1;4;11;27500;4.43933269383026
"54";6;"d";"d2";"a";0;0;1;4;13;32500;4.51188336097887
"55";7;"d";"d2";"a";0;0;1;4;10;25000;4.39794000867204
"56";8;"d";"d2";"a";0;0;1;4;9;22500;4.35218251811136
"57";9;"d";"d2";"a";0;0;1;4;9;22500;4.35218251811136
"58";10;"d";"d2";"a";0;0;1;4;14;35000;4.54406804435028
"59";11;"d";"d2";"a";0;0;1;4;12;30000;4.47712125471966
"60";12;"d";"d2";"a";0;0;1;4;10;25000;4.39794000867204
"61";1;"p";"p2";"a";0;0;1;4;18;45000;4.65321251377534
"62";2;"p";"p2";"a";0;0;1;4;21;52500;4.72015930340596
"63";3;"p";"p2";"a";0;0;1;4;10;25000;4.39794000867204
"64";4;"p";"p2";"a";0;0;1;4;16;40000;4.60205999132796
"65";5;"p";"p2";"a";0;0;1;4;11;27500;4.43933269383026
"66";6;"p";"p2";"a";0;0;1;4;13;32500;4.51188336097887
"67";7;"p";"p2";"a";0;0;1;4;10;25000;4.39794000867204
"68";8;"p";"p2";"a";0;0;1;4;9;22500;4.35218251811136
"69";9;"p";"p2";"a";0;0;1;4;9;22500;4.35218251811136
"70";10;"p";"p2";"a";0;0;1;4;14;35000;4.54406804435028
"71";11;"p";"p2";"a";0;0;1;4;12;30000;4.47712125471966
"72";12;"p";"p2";"a";0;0;1;4;10;25000;4.39794000867204
"73";1;"c";"c3";"a";0;0;1;4;18;45000;4.65321251377534
"74";2;"c";"c3";"a";0;0;1;4;21;52500;4.72015930340596
"75";3;"c";"c3";"a";0;0;1;4;10;25000;4.39794000867204
"76";4;"c";"c3";"a";0;0;1;4;16;40000;4.60205999132796
"77";5;"c";"c3";"a";0;0;1;4;11;27500;4.43933269383026
"78";6;"c";"c3";"a";0;0;1;4;13;32500;4.51188336097887
"79";7;"c";"c3";"a";0;0;1;4;10;25000;4.39794000867204
"80";8;"c";"c3";"a";0;0;1;4;9;22500;4.35218251811136
"81";9;"c";"c3";"a";0;0;1;4;9;22500;4.35218251811136
"82";10;"c";"c3";"a";0;0;1;4;14;35000;4.54406804435028
"83";11;"c";"c3";"a";0;0;1;4;12;30000;4.47712125471966
"84";12;"c";"c3";"a";0;0;1;4;10;25000;4.39794000867204
"85";1;"d";"d3";"a";0;0;1;4;18;45000;4.65321251377534
"86";2;"d";"d3";"a";0;0;1;4;21;52500;4.72015930340596
"87";3;"d";"d3";"a";0;0;1;4;10;25000;4.39794000867204
"88";4;"d";"d3";"a";0;0;1;4;16;40000;4.60205999132796
"89";5;"d";"d3";"a";0;0;1;4;11;27500;4.43933269383026
"90";6;"d";"d3";"a";0;0;1;4;13;32500;4.51188336097887
"91";7;"d";"d3";"a";0;0;1;4;10;25000;4.39794000867204
"92";8;"d";"d3";"a";0;0;1;4;9;22500;4.35218251811136
"93";9;"d";"d3";"a";0;0;1;4;9;22500;4.35218251811136
"94";10;"d";"d3";"a";0;0;1;4;14;35000;4.54406804435028
"95";11;"d";"d3";"a";0;0;1;4;12;30000;4.47712125471966
"96";12;"d";"d3";"a";0;0;1;4;10;25000;4.39794000867204
"97";1;"p";"p3";"a";0;0;1;4;18;45000;4.65321251377534
"98";2;"p";"p3";"a";0;0;1;4;21;52500;4.72015930340596
"99";3;"p";"p3";"a";0;0;1;4;10;25000;4.39794000867204
"100";4;"p";"p3";"a";0;0;1;4;16;40000;4.60205999132796
"101";5;"p";"p3";"a";0;0;1;4;11;27500;4.43933269383026
"102";6;"p";"p3";"a";0;0;1;4;13;32500;4.51188336097887
"103";7;"p";"p3";"a";0;0;1;4;10;25000;4.39794000867204
"104";8;"p";"p3";"a";0;0;1;4;9;22500;4.35218251811136
"105";9;"p";"p3";"a";0;0;1;4;9;22500;4.35218251811136
"106";10;"p";"p3";"a";0;0;1;4;14;35000;4.54406804435028
"107";11;"p";"p3";"a";0;0;1;4;12;30000;4.47712125471966
"108";12;"p";"p3";"a";0;0;1;4;10;25000;4.39794000867204
"109";1;"c";"c4";"a";0;0;1;4;18;45000;4.65321251377534
"110";2;"c";"c4";"a";0;0;1;4;21;52500;4.72015930340596
"111";3;"c";"c4";"a";0;0;1;4;10;25000;4.39794000867204
"112";4;"c";"c4";"a";0;0;1;4;16;40000;4.60205999132796
"113";5;"c";"c4";"a";0;0;1;4;11;27500;4.43933269383026
"114";6;"c";"c4";"a";0;0;1;4;13;32500;4.51188336097887
"115";7;"c";"c4";"a";0;0;1;4;10;25000;4.39794000867204
"116";8;"c";"c4";"a";0;0;1;4;9;22500;4.35218251811136
"117";9;"c";"c4";"a";0;0;1;4;9;22500;4.35218251811136
"118";10;"c";"c4";"a";0;0;1;4;14;35000;4.54406804435028
"119";11;"c";"c4";"a";0;0;1;4;12;30000;4.47712125471966
"120";12;"c";"c4";"a";0;0;1;4;10;25000;4.39794000867204
"121";1;"d";"d4";"a";0;0;1;4;18;45000;4.65321251377534
"122";2;"d";"d4";"a";0;0;1;4;21;52500;4.72015930340596
"123";3;"d";"d4";"a";0;0;1;4;10;25000;4.39794000867204
"124";4;"d";"d4";"a";0;0;1;4;16;40000;4.60205999132796
"125";5;"d";"d4";"a";0;0;1;4;11;27500;4.43933269383026
"126";6;"d";"d4";"a";0;0;1;4;13;32500;4.51188336097887
"127";7;"d";"d4";"a";0;0;1;4;10;25000;4.39794000867204
"128";8;"d";"d4";"a";0;0;1;4;9;22500;4.35218251811136
"129";9;"d";"d4";"a";0;0;1;4;9;22500;4.35218251811136
"130";10;"d";"d4";"a";0;0;1;4;14;35000;4.54406804435028
"131";11;"d";"d4";"a";0;0;1;4;12;30000;4.47712125471966
"132";12;"d";"d4";"a";0;0;1;4;10;25000;4.39794000867204
"133";1;"p";"p4";"a";0;0;1;4;18;45000;4.65321251377534
"134";2;"p";"p4";"a";0;0;1;4;21;52500;4.72015930340596
"135";3;"p";"p4";"a";0;0;1;4;10;25000;4.39794000867204
"136";4;"p";"p4";"a";0;0;1;4;16;40000;4.60205999132796
"137";5;"p";"p4";"a";0;0;1;4;11;27500;4.43933269383026
"138";6;"p";"p4";"a";0;0;1;4;13;32500;4.51188336097887
"139";7;"p";"p4";"a";0;0;1;4;10;25000;4.39794000867204
"140";8;"p";"p4";"a";0;0;1;4;9;22500;4.35218251811136
"141";9;"p";"p4";"a";0;0;1;4;9;22500;4.35218251811136
"142";10;"p";"p4";"a";0;0;1;4;14;35000;4.54406804435028
"143";11;"p";"p4";"a";0;0;1;4;12;30000;4.47712125471966
"144";12;"p";"p4";"a";0;0;1;4;10;25000;4.39794000867204
"145";14;"p";"p1";"a";1;7;0.5;4;222;1110000;6.04532297878666
"146";14;"p";"p1";"b";1;7;0.5;4;200;1e+06;6
"147";14;"p";"p1";"c";1;7;0.5;4;189;945000;5.97543180850926
"148";15;"p";"p2";"a";1;7;0.5;4;121;605000;5.78175537465247
"149";15;"p";"p2";"b";1;7;0.5;4;150;750000;5.8750612633917
"150";15;"p";"p2";"c";1;7;0.5;4;135;675000;5.82930377283103
"151";16;"p";"p3";"a";1;7;0.5;4;221;1105000;6.04336227802113
"152";16;"p";"p3";"b";1;7;0.5;4;235;1175000;6.07003786660776
"153";16;"p";"p3";"c";1;7;0.5;4;198;990000;5.99563519459755
"154";17;"p";"p4";"a";1;7;0.5;4;203;1015000;6.00646604224923
"155";17;"p";"p4";"b";1;7;0.5;4;200;1e+06;6
"156";17;"p";"p4";"c";1;7;0.5;4;136;680000;5.83250891270624
"157";18;"d";"d1";"a";1;7;0.333333333333333;4;164;1230000;6.0899051114394
"158";18;"d";"d1";"b";1;7;0.333333333333333;4;150;1125000;6.05115252244738
"159";18;"d";"d1";"c";1;7;0.333333333333333;4;119;892500;5.95060822478423
"160";19;"d";"d2";"a";1;7;0.333333333333333;4;150;1125000;6.05115252244738
"161";19;"d";"d2";"b";1;7;0.333333333333333;4;153;1147500;6.0597526942093
"162";19;"d";"d2";"c";1;7;0.333333333333333;4;157;1177500;6.07096091580093
"163";20;"d";"d3";"a";1;7;0.333333333333333;4;130;975000;5.98900461569854
"164";20;"d";"d3";"b";1;7;0.333333333333333;4;145;1087500;6.03642926562668
"165";20;"d";"d3";"c";1;7;0.333333333333333;4;149;1117500;6.04824753180397
"166";21;"d";"d4";"a";1;7;0.333333333333333;4;118;885000;5.94694327069783
"167";21;"d";"d4";"b";1;7;0.333333333333333;4;105;787500;5.89625056246164
"168";21;"d";"d4";"c";1;7;0.333333333333333;4;111;832500;5.92038424217836
"169";22;"c";"c1";"a";1;7;0.333333333333333;4;156;1170000;6.06818586174616
"170";22;"c";"c1";"b";1;7;0.333333333333333;4;156;1170000;6.06818586174616
"171";22;"c";"c1";"c";1;7;0.333333333333333;4;164;1230000;6.0899051114394
"172";23;"c";"c2";"a";1;7;0.333333333333333;4;145;1087500;6.03642926562668
"173";23;"c";"c2";"b";1;7;0.333333333333333;4;152;1140000;6.05690485133647
"174";23;"c";"c2";"c";1;7;0.333333333333333;4;133;997500;5.99891290435879
"175";24;"c";"c3";"a";1;7;0.333333333333333;4;151;1132500;6.05403821068487
"176";24;"c";"c3";"b";1;7;0.333333333333333;4;152;1140000;6.05690485133647
"177";24;"c";"c3";"c";1;7;0.333333333333333;4;146;1095000;6.03941411917614
"178";25;"c";"c4";"a";1;7;0.333333333333333;4;176;1320000;6.12057393120585
"179";25;"c";"c4";"b";1;7;0.333333333333333;4;150;1125000;6.05115252244738
"180";25;"c";"c4";"c";1;7;0.333333333333333;4;172;1290000;6.11058971029925
"181";27;"p";"p1";"a";2;14;0.1;4;39;975000;5.98900461569854
"182";27;"p";"p1";"b";2;14;0.1;4;33;825000;5.91645394854993
"183";27;"p";"p1";"c";2;14;0.1;4;37;925000;5.96614173273903
"184";28;"p";"p2";"a";2;14;0.1;4;64;1600000;6.20411998265593
"185";28;"p";"p2";"b";2;14;0.1;4;61;1525000;6.1832698436828
"186";28;"p";"p2";"c";2;14;0.1;4;55;1375000;6.13830269816628
"187";29;"p";"p3";"a";2;14;0.1;4;59;1475000;6.16879202031418
"188";29;"p";"p3";"b";2;14;0.1;4;62;1550000;6.19033169817029
"189";29;"p";"p3";"c";2;14;0.1;4;63;1575000;6.19728055812562
"190";30;"p";"p4";"a";2;14;0.1;4;51;1275000;6.10551018476997
"191";30;"p";"p4";"b";2;14;0.1;4;45;1125000;6.05115252244738
"192";30;"p";"p4";"c";2;14;0.1;4;61;1525000;6.1832698436828
"193";31;"d";"d1";"a";2;14;0.1;4;83;2075000;6.31701810104811
"194";31;"d";"d1";"b";2;14;0.1;4;75;1875000;6.27300127206374
"195";31;"d";"d1";"c";2;14;0.1;4;83;2075000;6.31701810104811
"196";32;"d";"d2";"a";2;14;0.1;4;51;1275000;6.10551018476997
"197";32;"d";"d2";"b";2;14;0.1;4;55;1375000;6.13830269816628
"198";32;"d";"d2";"c";2;14;0.1;4;47;1175000;6.07003786660776
"199";33;"d";"d3";"a";2;14;0.1;4;81;2025000;6.30642502755069
"200";33;"d";"d3";"b";2;14;0.1;4;85;2125000;6.32735893438633
"201";33;"d";"d3";"c";2;14;0.1;4;79;1975000;6.29556709996248
"202";34;"d";"d4";"a";2;14;0.1;4;49;1225000;6.08813608870055
"203";34;"d";"d4";"b";2;14;0.1;4;49;1225000;6.08813608870055
"204";34;"d";"d4";"c";2;14;0.1;4;47;1175000;6.07003786660776
"205";35;"c";"c1";"a";2;14;0.1;4;73;1825000;6.26126286879249
"206";35;"c";"c1";"b";2;14;0.1;4;71;1775000;6.24919835739111
"207";35;"c";"c1";"c";2;14;0.1;4;77;1925000;6.28443073384452
"208";36;"c";"c2";"a";2;14;0.1;4;69;1725000;6.23678909940929
"209";36;"c";"c2";"b";2;14;0.1;4;64;1600000;6.20411998265593
"210";36;"c";"c2";"c";2;14;0.1;4;59;1475000;6.16879202031418
"211";37;"c";"c3";"a";2;14;0.1;4;67;1675000;6.22401481137286
"212";37;"c";"c3";"b";2;14;0.1;4;61;1525000;6.1832698436828
"213";37;"c";"c3";"c";2;14;0.1;4;59;1475000;6.16879202031418
"214";38;"c";"c4";"a";2;14;0.1;4;63;1575000;6.19728055812562
"215";38;"c";"c4";"b";2;14;0.1;4;67;1675000;6.22401481137286
"216";38;"c";"c4";"c";2;14;0.1;4;67;1675000;6.22401481137286
"217";40;"p";"p1";"a";3;21;0.25;4;54;540000;5.73239375982297
"218";40;"p";"p1";"b";3;21;0.25;4;56;560000;5.7481880270062
"219";40;"p";"p1";"c";3;21;0.25;4;76;760000;5.88081359228079
"220";41;"p";"p2";"a";3;21;0.25;4;73;730000;5.86332286012046
"221";41;"p";"p2";"b";3;21;0.25;4;69;690000;5.83884909073726
"222";41;"p";"p2";"c";3;21;0.25;4;50;5e+05;5.69897000433602
"223";42;"p";"p3";"a";3;21;0.25;4;69;690000;5.83884909073726
"224";42;"p";"p3";"b";3;21;0.25;4;71;710000;5.85125834871908
"225";42;"p";"p3";"c";3;21;0.25;4;66;660000;5.81954393554187
"226";43;"p";"p4";"a";3;21;0.25;4;69;690000;5.83884909073726
"227";43;"p";"p4";"b";3;21;0.25;4;67;670000;5.82607480270083
"228";43;"p";"p4";"c";3;21;0.25;4;84;840000;5.92427928606188
"229";44;"d";"d1";"a";3;21;0.25;4;120;1200000;6.07918124604763
"230";44;"d";"d1";"b";3;21;0.25;4;89;890000;5.94939000664491
"231";44;"d";"d1";"c";3;21;0.25;4;76;760000;5.88081359228079
"232";45;"d";"d2";"a";3;21;0.25;4;48;480000;5.68124123737559
"233";45;"d";"d2";"b";3;21;0.25;4;60;6e+05;5.77815125038364
"234";45;"d";"d2";"c";3;21;0.25;4;51;510000;5.70757017609794
"235";46;"d";"d3";"a";3;21;0.25;4;76;760000;5.88081359228079
"236";46;"d";"d3";"b";3;21;0.25;4;76;760000;5.88081359228079
"237";46;"d";"d3";"c";3;21;0.25;4;78;780000;5.89209460269048
"238";47;"d";"d4";"a";3;21;0.25;4;81;810000;5.90848501887865
"239";47;"d";"d4";"b";3;21;0.25;4;80;8e+05;5.90308998699194
"240";47;"d";"d4";"c";3;21;0.25;4;75;750000;5.8750612633917
"241";48;"c";"c1";"a";3;21;0.25;4;109;1090000;6.03742649794062
"242";48;"c";"c1";"b";3;21;0.25;4;105;1050000;6.02118929906994
"243";48;"c";"c1";"c";3;21;0.25;4;91;910000;5.95904139232109
"244";49;"c";"c2";"a";3;21;0.25;4;80;8e+05;5.90308998699194
"245";49;"c";"c2";"b";3;21;0.25;4;82;820000;5.91381385238372
"246";49;"c";"c2";"c";3;21;0.25;4;61;610000;5.78532983501077
"247";50;"c";"c3";"a";3;21;0.25;4;69;690000;5.83884909073726
"248";50;"c";"c3";"b";3;21;0.25;4;65;650000;5.81291335664286
"249";50;"c";"c3";"c";3;21;0.25;4;67;670000;5.82607480270083
"250";51;"c";"c4";"a";3;21;0.25;4;73;730000;5.86332286012046
"251";51;"c";"c4";"b";3;21;0.25;4;70;7e+05;5.84509804001426
"252";51;"c";"c4";"c";3;21;0.25;4;70;7e+05;5.84509804001426
"253";53;"p";"p1";"a";4;28;0.1;4;43;1075000;6.03140846425162
"254";53;"p";"p1";"b";4;28;0.1;4;50;1250000;6.09691001300806
"255";53;"p";"p1";"c";4;28;0.1;4;52;1300000;6.11394335230684
"256";54;"p";"p2";"a";4;28;0.1;4;59;1475000;6.16879202031418
"257";54;"p";"p2";"b";4;28;0.1;4;57;1425000;6.15381486434453
"258";54;"p";"p2";"c";4;28;0.1;4;69;1725000;6.23678909940929
"259";55;"p";"p3";"a";4;28;0.1;4;37;925000;5.96614173273903
"260";55;"p";"p3";"b";4;28;0.1;4;45;1125000;6.05115252244738
"261";55;"p";"p3";"c";4;28;0.1;4;32;8e+05;5.90308998699194
"262";56;"p";"p4";"a";4;28;0.1;4;46;1150000;6.06069784035361
"263";56;"p";"p4";"b";4;28;0.1;4;45;1125000;6.05115252244738
"264";56;"p";"p4";"c";4;28;0.1;4;44;1100000;6.04139268515823
"265";57;"d";"d1";"a";4;28;0.1;4;33;825000;5.91645394854993
